REFERENCE                                                              | COUNT
Raatikainen, P. (n.d.). “Gödel’s Incompleteness Theorems”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/goedel-incompleteness/ | 2
Zuidervaart, L. (n.d.). “Theodor W. Adorno”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/adorno/ | 2
Arendt, H. (1951). The Origins of Totalitarianism. New York: Harcourt Brace Jovanovich. 1973. | 2
Magee, B. (1998). The Story of Philosophy. DK Pub.; Reynolds, J. & Renaudie, P. (n.d.). “Jean-Paul Sartre”, The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/archives/sum2022/entries/sartre/ | 2
Merleau-Ponty, M. (1942). The Structure of Behaviour. | 2
Gombrich, E. (1960). Art and Illusion: a Study in the Psychology of Pictorial Representation. London: Phaidon. | 2
Schneider, N. (2009). “Form of Thought and Presentational Gesture in Karl Popper and E. H. Gombrich”. Human Affairs 19 (3). | 2
Goodman, N. (1976). Languages of Art: An Approach to a Theory of Symbols. Hackett Publishing Company. | 2
Raatikainen, P. (2005). “On the philosophical relevance of Gödel’s incompleteness theorems”. Revue Internationale de Philosophie. | 2
Greenberg, C. (1939). “Avant-Garde and Kitsch”. | 2
Dowden, B., & Swartz, N. (n.d.). “Truth”. The Internet Encyclopedia of Philosophy. https://iep.utm.edu/truth/ | 2
Gontier, N. (n.d.). “Evolutionary epistemology”. The Internet Encyclopedia of Philosophy. https://iep.utm.edu/evo-epis/ | 2
