Thales|Everything is water in one form or another.
William of Ockham|We acquire knowledge in four quick steps: sensory cognition, intuitive cognition, recordative cognition, and abstractive cognition.
William of Ockham|In intuitive cognition, objects in the world cause us to be aware of their existence, and this explains and justifies our belief in them.
William of Ockham|Concepts are not mental objects (“ficta”) resembling objects in the world like pictures, but mental actions caused by the objects.
William of Ockham|There are no universals existing in individual substances or in the essences of things; being one thing and many things at the same time is contradictory.
William of Ockham|Universals are concepts caused in our minds (via recordative and abstractive cognition) when we perceive similar individuals.
William of Ockham|Since we have no experience of God in our lives on earth, we have no knowledge of God; belief in God is a matter of faith alone.
William of Ockham|The Trinity is a contradiction and the proofs of God’s existence inconclusive; theology is not logical and must never be mixed with philosophy.
William of Ockham|There are no constraints, external or internal, to what God can will: God’s free will establishes right and wrong.
William of Ockham|The pope does not have power to punish secular wrongs; he and the emperor should be separate but equal, each supreme in his own domain.
William of Ockham|Purely philosophical (non-theological) assertions should not be condemned or forbidden; anyone ought to be free to say freely what pleases them.
Niccolò Machiavelli|People in general are ungrateful, fickle, hypocritical, cowardly, and greedy.
Niccolò Machiavelli|Rulers will perish if they are always good; they must be cunning as a fox and as fierce as a lion.
Niccolò Machiavelli|Rulers should appear to be merciful, faithful, humane, upright, and most importantly, religious.
Niccolò Machiavelli|Rulers should not mind being considered cruel, as long as their actions restore order, peace, and loyalty in the end.
Niccolò Machiavelli|People are so simple and so much dominated by their immediate needs, that a deceitful person will always find plenty who are ready to be deceived.
Francis Bacon|The scientific method consists of data collection, hypothesis generation, experiment confirmation, and prediction.
Francis Bacon|Negative instances are as important as positive ones in guiding us to the right conclusions.
Francis Bacon|Our senses, feelings, and ideologies can be obstacles in our search for reliable knowledge.
Francis Bacon|Words are but the images of matter, to fall in love with them is to fall in love with a picture.
Thomas Hobbes|The universe consists of matter in motion, and nothing else exists; it is a vast machine.
Thomas Hobbes|Every moving object, including human beings, is some sort of machine.
Thomas Hobbes|Objects, people, and societies continuously cast and acquire parts but they stay the same over time because of the unbroken nature of the flux.
Thomas Hobbes|All mental processes consist of movements of matter inside the skull.
Thomas Hobbes|Psychological motivations are sorts of pushes: drives and repulsions, appetites and aversions.
Thomas Hobbes|Each person acts for some good to themselves, and appetites define what is good for each of us.
Thomas Hobbes|We are free agents if we are able to do as we will; liberty is the absence of external impediments.
Thomas Hobbes|Appetites (liking, love, etc.) are inherently unsatisfiable; they cannot cease until death.
Thomas Hobbes|The strongest aversion is the fear of death.
Thomas Hobbes|At bottom, the reason why people form societies is their fear of death.
Thomas Hobbes|In the state of nature there is no order or justice; violence and cunning rules – life is solitary, poor, nasty, brutish and short.
Thomas Hobbes|In the state of nature, every person has the natural right to everything, especially to anything necessary for the preservation of one’s own life.
Thomas Hobbes|Societal alliances should be such that it is not in anyone’s interest to break laws.
Thomas Hobbes|Everyone should hand over power to a central authority with absolute power who imposes law and punishes law-breakers, for the good of all.
Thomas Hobbes|The central authority holds its power not from God or from any higher authority, but from the people, to protect their freedom and safety.
Thomas Hobbes|Any tyranny is better than social chaos.
Thomas Hobbes|One should be contented with so much liberty against other people, as one would allow others against oneself.
René Descartes|In mathematics we start from indubitable premises and deduce irrefutable conclusions.
René Descartes|To gain reliable knowledge, we should start from indubitable premises as in mathematics.
René Descartes|Sensual observations cannot be trusted, as they deceive us frequently.
René Descartes|I cannot be absolutely sure at any moment that I am not being deceived by an evil demon controlling my senses.
René Descartes|The only thing I can be sure of is that I am having the experiences that I am having.
René Descartes|I may not know my own nature or the nature of things, but that I exist is indubitable, because I am having experiences.
René Descartes|I can think of a perfect being even though I am imperfect; that being must be the cause of this idea within me, therefore it (God) exists.
René Descartes|If I think carefully, I can be certain of my conclusions, because God will not deceive me.
René Descartes|There are two kinds of substance, interacting with each other: mind (which I am as a conscious being; ‘res cogitans’) and matter (‘res extensa’).
René Descartes|Unlike the body, the mind is indivisible; it is a unified and integral thing, and willing, sensing, understanding, etc. are not parts of it.
René Descartes|Some of our ‘ideas’ (e.g. God) are innate, some adventitious (sensations coming from external objects), and others inventions (e.g. hippogriffs).
René Descartes|Sense perception, imagination, and corporeal memory require the brain and the body but pure thinking arises from innate ideas in the intellect acting alone.
René Descartes|The sensations (‘ideas’) of light, hearing, tickling, pain, etc. formed in our minds bear no resemblance to the objects causing them.
René Descartes|Animals can act ‘in accordance with’ rules of reason, but they do not really act ‘for’ these reasons; they cannot apply these principles to novel circumstances.
René Descartes|The best explanation for the absence of speech in animals is the absence of thought; animals are nothing but mindless machines or automata.
Blaise Pascal|No matter how small the probability that God exists, as long as it is non-zero, the expected utility of theistic belief will dominate the expected utility of disbelief.
Blaise Pascal|No one without faith has ever reached happiness; the infinite abyss in us can be filled only with an infinite and immutable object, by God.
Blaise Pascal|It is the heart which experiences God, and not the reason.
Benedict Spinoza|To understand the world we should apply the methods of mathematics to reality.
Benedict Spinoza|If God is infinite, he cannot have boundaries; everything is part of God, all is one.
Benedict Spinoza|From a given determinate cause, the effect follows necessarily; and conversely, if there is no determinate cause, it is impossible for an effect to follow.
Benedict Spinoza|The totality of everything is the only thing that needs nothing outside itself in order to exist; it is the only true substance, it is God.
Benedict Spinoza|Many imagine God as a ruler, lawgiver, king, merciful, just etc. whereas these are attributes of human nature, not applicable to the divine nature.
Benedict Spinoza|Religious and scientific conceptions are two ways of describing the same reality.
Benedict Spinoza|Mind and matter are one and the same thing expressed in two ways, through different attributes.
Benedict Spinoza|Each thing strives to persevere in its being; nothing can be destroyed without the action of external causes.
Benedict Spinoza|All things are alive and have minds, in different degrees.
Benedict Spinoza|As God, or Nature, exists for the sake of no end, it also acts for the sake of no end.
Benedict Spinoza|Concepts like good, evil, order, confusion, warm, cold, beauty, ugliness do not indicate the nature of anything; they are products of the imagination.
Benedict Spinoza|We do not desire anything because we judge it to be good; we judge something to be good because we desire it.
Benedict Spinoza|Reason demands that everyone love themself, seek their own advantage and should strive to preserve their own being as far as they can.
Benedict Spinoza|There is no free will; the mind is determined to wish this or that by a cause, which has also been determined by another cause, ad infinitum.
